ID,Topic,Domain,emotion,text
18466,Politics,Youtube,Anger,"এর নাম বাংলাদেশ,অপরাধ করে ও ভয় পায়না, কারন অপরাধীর শাস্তি হয়না, "
6664,Sports,Youtube,Anger,টাইগাররা ভুল করেন আর অফসোস করেন কিন্তু সংশোধন করেন না  
8218,Business,Youtube,Sadness,আরে ভাই এরা ভিউ বাড়ানোর জন্য এগুলো করে এত মানুষের বাচ্চা না 
18014,Personal,Youtube,Joy,আপনি এই শিশুর পড়ালেখার করা জন্য সুযোগ দিয়েছেন এই জন্য আপনাকে অনেক ধন্যবাদ 
26743,Game,Youtube,Joy,আমি এত সুন্দৱ ভিডিও আৱ একটাও দেখিনি । অনেক ভালোলাগলো  
5740,Personal,Youtube,Love,ভাইয়া আপনার ব্লগ অনেক ভালো লাগে । দোয়া রইলো আমিন  
15132,Entertainment,Facebook,Anger,যখন জান্নাতের সামনে গিয়ে দেখবো চাবিতো(নামাজ) দুনিয়ায় থেকে আনতে পারিনি 
19155,Sports,Youtube,Joy,সাইফুদ্দিন একদিন বিশ্বসেরা অলরাউন্ডার হবে তার মধ্যে অনেক প্রতিভা আছে। তাকে দরকার আছে বলে আমি মনে করি 
2870,Sports,Youtube,Anger,যত ছোট ছোট প্যান্ট পড়ে ডান্স হবে তত কবরেরআজাপ মুছে যাবে মজিবুর রহমানের 
24176,Personal,Youtube,Joy,তৌহিদ আফ্রিদির সঙ্গে কিভাবে কন্ট্যাক্ট করতে পারি প্লিজ; একটু বলবেন ? 
12844,Entertainment,Youtube,Joy,অসম্ভব সুন্দর একটা নাটক। ভাই আমি আপনার একজন ভক্ত 
9597,Entertainment,Youtube,Joy,"আজ চুল নাই, কালকে দেখবেন অন্য কিছু নাই😋😋😛😜🤓😀😃 "
15896,Education,Youtube,Joy,ডেসক্রিপশনে ফেসবুক লিংক দেয়া আছে। সেখানেই পাওয়া যাবে সব। 
20042,Politics,Facebook,Anger,এটা অত্যন্ত দুঃখজনক। আশরাফকে ছোটবেলা থেকেই আমি চিনি 
1980,Politics,Youtube,Anger,আইনের কাছে বিচার চাওয়া হল বোকামি করা - নিজের হাতে আপনারা বিচার করুন - 
17754,Education,Youtube,Sadness,আরে বদমাইশ মেয়েরা জীবনেও পারবি না মাদরাসার ছাএদের সাথে 
12063,Entertainment,Youtube,Anger,অপেক্ষার ফল যে এতো খারাপ হয় জানতাম না .... 
24723,Entertainment,Youtube,Joy,য়ার আম্মা নোয়াখালীর চেয়ারম্যান জোরা উট জোরা ছাগল জোরা গরু জোরা বেরা😍😀🙃😛 
20559,Sports,Youtube,Sadness,বাংলাদেশ এর আবাল খেলোয়াড়দের উচিত তার পা ধুয়ে পানি খাওয়া 
24644,Personal,Twitter,Joy,দুস্থ-পীড়িতের পাশে সহানুভূতিশীল মানবিক হৃদয় নিয়ে সদা পাশে আছে বাংলাদেশ ছাত্রলীগ পরিবার। 
3341,Entertainment,Facebook,Surprise,১টি ৫০০ মিলি চকলেট আইসক্রিম কিনি।আইসক্রিম গুলো হাতে নেয়ার পরে মনে হল ১ লিটার 
22667,Music,Youtube,Joy,এই গান গুলা একটা একটা করে গাইবেন প্লিজ 
25717,Music,Youtube,Love,কে কে গান শোনাৱ সাথে সাথে কমেন্ট পৱতে ভালোবাসেন??? 
18700,Personal,Facebook,Joy,বড় হতে হতে কিছু নত হও নত হতে হতে হবে পৃথক পাহাড় 
2893,Sports,Youtube,Sadness,"রাশিদ খানের এইটা দরকার ছিলো বেশী ,অহনকার ,বেশী দিন থাকে নাহ,,, "
6915,Music,Youtube,Joy,বাপের নাম কেতলি বান্দি পুতের না সুলতান খা😂😂😂😂 
10530,Entertainment,Facebook,Joy,৯৯৮ জন হল ত্যাগ করলেন… দুইজন দাড়িয়ে রইলেন। তরফদার আর আরেক ভদ্র লোক। বিল গেটস বললেন–“গুড 
9705,Music,Youtube,Love,"আমি এই পৃথিমীতে ৪ জন কে ভালোবাসি,,,বাবা,মা,আমাদের নবী হযরত মহাম্মদ (স),আল্লাহ "
24265,Personal,Youtube,Joy,আফ্রিদি ভাইয়া আপনি এত ভাল সেটা কখনো বুঝতে পারিনি ধন্যবাদ 
22360,Education,Facebook,Anger,তুমি ঠিকই বলেছিলে। সত্যিই আজকে আমার নাড়িভুড়ি বেরিয়ে গিয়েছিল। কিন্তু তুমি চিন্তা করো না 
25319,Politics,Youtube,Fear,হে মাবুদ আল্লাহ তুমি আমাদের এই গুলা থেকে রক্ষা করো 
14070,Education,Facebook,Joy,আপনিই এই পদের যোগ্য এবং চাকরিটিও আপনার প্রয়োজন। মনে রাখবেন 
6464,Music,Youtube,Love,পারভেজ ভাই নিশন্দেহে খুব ভালো মানের একজন শিল্পী 😍 
18938,Music,Youtube,Anger,তোরে নদীর মাঝখানে নিয়া পোন্দামু শালা বাইঞ্চোদ ইসলাম নিয়ে ব্যাবসা কেনো 
249,Sports,Youtube,Joy,"আকবর বিশ্বকাপ জিতার আগে কই ছিলা,তারপর ও বলব বাংলাদেশ বিশ্বকাপ জিতার জন্য অভিনন্দন। "
10214,Sports,Facebook,Anger,ফিল্ডিং এ অমনোযোগী আবার ব্যাটিং এও এই অবস্থা 
8186,Politics,Youtube,Sadness,এইবার ৫০ লাখ মাথা নিবো এই সেতু বানাইতে 
20861,Travel,Youtube,Joy,বোন অনেক সুন্দর লাগলো বোন মাথা ডাকা পরজ 
4006,Entertainment,Youtube,Love,আমি কখনও এত হাসি না আজ নাটকটা দেখে হাসতে হাসতে আমি শেষ অসাধারণ হয়েছে অসাধারণ 
10987,Sports,Facebook,Joy,তুরিনের ওল্ড লেডি খ্যাত জুভেন্টাস এ । যেখানে তার পজিশন এ খেলার মতো খেলোয়াড়রা হলেন পিরলো 
1130,Sports,Facebook,Love,বিল্ডাপ প্লে কতটা ভয়ংকর ।পেরেইরা যেখানেই খেলুক না কেনো যদি মেসির সাথে বোঝাপড়াটা ভালো হয় 
25881,Sports,Youtube,Joy,"যোবায়ের হোসেনের বল অনেক ভালো লাগলো, যোবায়ের কে আবারো জাতীয় দলে খেলার সুযোগ দেওয়া হোক। "
14701,Personal,Twitter,Anger,প্রাইভেট ও সান্ধ্যের পাঠ চুকাতে গিয়ে অনেক শিক্ষকেরই 
9194,Politics,Youtube,Sadness,কুত্তার জাতের ফাঁসি চাই 👍 সবার সামনে ফাঁসি দেওয়া হোক 
12941,Education,Youtube,Joy,ভালোই হইল ..এই ঈদ এ পাঞ্জাবি কেনার টাকাও ছিলনারে ভাই .. পাচ্ছি তাইলে কি মজা!!... 
12653,Education,Facebook,Sadness,আন্দোলনরত ছাত্রদের মাঝে থাকা ছাত্রলীগ নামের ছাত্ররা ধর্ষন করেছে 
20767,Sports,Youtube,Love,"লাভ! লাভ! লাভ! শুধু ভালবাসা, ভালবাসা।💕 "
20125,Personal,Facebook,Joy,কী ব্যাপার একা একা হাসছিস কেন? ইয়াসমিন বলে 
6055,Personal,Facebook,Love,মন বলবে কি সেটা আমার সাথে আবার দেখবে ? আমার জন্য সাঁজতে হবে 
20413,Sports,Facebook,Joy,কিন্তু ফর্মের বিচারে আর্জেন্টিনাই ফেবারিট..... তাই বলা যায় 
9017,Entertainment,Youtube,Joy,ভালোই ছিল নাটকটি 💗💗💗 
15336,Education,Facebook,Joy,নো চিন্তা! বাচ্চা/শিশু : সেদিন আমার আব্বুর বিয়েতে (!) গিয়েছিলাম। তারপর এক মামা আমাকে কোলে নিল 
5658,Entertainment,Youtube,Sadness,এই মাদারচোদগুলা বাংলা নাটকের মান ইজ্জত সব নষ্ট করতেছে। এইসব নাটক ফ্যামিলির সাথে কোনভাবেই দেখা সম্ভব না 
4185,Education,Facebook,Anger,বড় হলে তারা সাধারনত: উগ্র 
7782,Personal,Facebook,Surprise,আলিশান কোনো তাজমহল! আমার কাছে উল্লাস সে তো 
9789,Personal,Youtube,Love,"অনেক দিন ভাবছি রানা কে নিয়ে ভ্লগ দিতে বলবো,বলার আগেই দিয়ে দিলা,অনেক ধন্যবাদ। "
17410,Personal,Facebook,Joy,জানালা পাশের মাধবী লতাতে কী ফুল এসেছে। মিনির ছানাটা! ওটা কি বড় হয়েছে? হাবু চাচার বাবুটা? সরি 
17052,Personal,Facebook,Anger,জীবন আমার তৃপ্তি রবে ঘাসের বুকে শুখিয়ে যাবো 
17362,Music,Youtube,Fear,ভাইয়া আল্লাহর পথে ফিরে আসুন !!আমাকে আপনাকে আল্লাহর ‌কাছে জবাব দীহি করতে হবে ! 
16012,Music,Youtube,Sadness,এখানে মেয়েটা শেখ সাদি কে দেখেও না দেখার ভান করে 
15728,Entertainment,Youtube,Joy,"এতো ভালো লাগছে আমার যা বলতে পারছিনা, অসাধারণ, ❤❤❤❤❤ "
9216,Education,Youtube,Joy,অনেক দুরুত কথা বলছেন সবাই কিন্তু স্পষ্ট ❤ 
14855,Personal,Youtube,Love,আমাদের দেশে সব থেকে আগে সবার জাকাত আদায় করতে হবে 
6346,Politics,Youtube,Sadness,গ্রেপ্তারের আগে আপনাদের মত সাংবাদিক কি বাল পালাইছে তখন তো দেখিনা নিউজ করতে। 
23715,Sports,Youtube,Sadness,হ্যাপি বিবাহ করবে না । তাহলে কি উনি বাকি জীবন কলা 🍌 বা বেগুন ঢুকাবে 
2220,Personal,Facebook,Anger,কারণ আমি কখনো কারো কাছ প্রত্যাশা করি না 
27841,Education,Facebook,Anger,আমার মনে হয় না এখানে টলারেন্স শো করার কোন উপায় আছে। যদি শো করা হয় 
1394,Personal,Youtube,Love,তহিদ আফরিদ ভাইয়া আমি তোমার অনেক বড় ফেনট 
